Industry_Type,Region,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,Population_Millions,GDP_Billion_USD,Urbanization_Percentage,Renewable_Energy_Percentage,Industrial_Growth_Percentage,Transport_Growth_Percentage
Mining,North America,India,2013,177.7,911.85,22.43,148.24,39.36,12.47,1394.72,7961.87,66.33,69.67,4.27,9.71
Mining,North America,India,2013,113.06,772.22,69.04,188.01,32.57,2.52,896.9,19965.59,83.97,67.11,-5.7,9.37
Construction,North America,India,2010,172.09,982.29,59.07,2.54,25.56,10.27,1486.69,8316.66,41.67,89.04,-2.21,1.17
Mining,North America,India,2001,66.04,339.28,94.39,127,5.01,8.69,1180.34,13586.95,69.88,85.15,14.47,-2.35
Construction,North America,India,2010,288.75,937.9,63.05,186.15,6.52,4.97,302.28,21457.51,75.63,6.25,2.22,6.53
Energy,North America,India,2019,36.66,486.35,58.56,194.74,21.27,15.89,137.94,13891.3,37.01,3.81,-8.38,1.98
Manufacturing,North America,India,2004,160.09,310.36,16.93,5.61,11.15,9.36,70.26,23920.49,24.74,38.1,-7.25,4.57
Construction,North America,India,2000,246.95,483.82,35.06,198.74,46.71,1.59,1458,2805.9,33.84,8.56,0.18,7.19
Energy,North America,India,2016,34.21,649.92,41.82,0.83,21.35,2.11,832.24,11990.65,66.05,12.44,-7.71,6.31
Mining,North America,India,2009,48.3,438.14,50.3,6.43,36.96,12.33,580.78,12033.58,27.82,82.52,1.89,2.44
Construction,North America,India,2012,260.14,707.7,6.49,11.5,25.8,2.93,1058.14,6662.12,37.6,91.53,6.98,8.52
Manufacturing,North America,India,2022,164.83,419.16,34.43,52.77,28.05,4.39,1412.77,18307.27,24.28,89.58,-9.17,7.67
Construction,North America,India,2013,286.39,358.55,3.95,82.05,15.43,8.81,1376.32,10870.01,87.86,18.22,12.59,3.01
Construction,North America,India,2010,173.28,537.59,34.42,156.96,13.97,6.86,1327.5,13513.29,49.23,42.34,9.15,-1.05
Construction,North America,India,2006,112.12,619.82,48.1,130.37,12.11,11.86,1384.86,8205.11,72.25,62.09,3.46,-0.64
Mining,North America,India,2000,249.89,361.74,15.89,17.76,31.04,11.72,1348.36,14102.26,69.43,23.49,13.19,-1.97
Manufacturing,North America,India,2003,280.13,976.25,6.01,179.16,47.95,14.71,387.26,14136.14,51.78,83.55,11.9,8.64
Manufacturing,North America,India,2016,272.02,160.01,56.97,64.02,6.12,19.13,349.94,17306.61,56.73,46.54,-1.13,2.2
Energy,North America,India,2015,115.36,326.27,92.41,186.77,20.69,11.4,275.65,14866.95,75.35,38.8,13.62,6.38
Mining,North America,India,2013,99.69,155.15,42,117.39,29.34,3.54,275.29,7353.89,22.19,75.79,10.01,6.22
Manufacturing,North America,India,2004,283.43,404.54,38.74,121.25,45.69,9.07,1177.09,8035.5,76.66,82.11,8.24,4.66
Mining,North America,India,2017,196.91,931.97,1.81,167.96,7.8,7.79,1259.83,15544.27,51.64,70.78,-8.52,4.24
Mining,North America,India,2019,22.57,106.42,32.86,70.7,40.89,6.51,592.61,20294.05,41.91,63.55,-8.07,-1.81
Construction,North America,India,2020,17.85,784.27,0.47,182.73,30.83,16.62,288.42,8721.04,81.76,83.27,10.72,1.26
Manufacturing,North America,India,2020,147.58,161.98,62.37,156.68,7.17,15.6,127.67,1101.72,38.95,33.06,-8.4,9.16
Construction,North America,India,2019,53.68,513.43,78.06,160.7,39.39,8.88,529.39,6913.51,42.91,0.47,-7.04,-4.4
Construction,North America,India,2014,49.25,818.97,2.01,118.28,18.33,4.65,384.1,22545.59,80.96,98.26,6.68,-4.13
Energy,North America,India,2009,6.28,257.74,71.06,186.1,3.28,10.65,1169.84,22341.56,65.03,37.61,1,1.96
Mining,North America,India,2022,33.16,468.58,19.63,2.12,39.16,19.3,1310.33,23042.44,81.45,93.18,5.21,8.78
Manufacturing,North America,India,2017,43.41,495.4,57.82,50.13,20.86,11.11,1082.45,9990.74,26.01,88.91,2.77,2.16
Construction,North America,India,2005,91.83,721.15,5.49,193.45,17.33,6.17,1171.74,11415.95,46.77,13.51,7.87,4.21
Manufacturing,North America,India,2012,104.17,525.03,38.22,132.7,9.17,0.45,502.84,15444.02,79.47,68.69,-8.92,-3.75
Energy,North America,India,2009,228.62,944.05,97.72,137.59,36.75,10.2,1268.45,19235.86,24.58,2.43,-5.38,7
Energy,North America,India,2014,233.19,123.6,6.35,64.38,33.99,11.4,775.55,525.43,39.4,88.81,10.14,-4.62
Construction,North America,India,2006,49.04,781.29,55.66,114.86,40.91,4.33,778.69,19913.58,45.21,97.35,-4.47,2.93
Mining,North America,India,2002,184.79,745.59,82.5,122.89,6.31,18.86,322.06,12868.84,66.99,64.4,4.16,4.64
Mining,North America,India,2020,253.32,649.03,30.72,27.8,24.67,13.02,1236.6,16925.72,46.79,93.63,10.6,7.5
Construction,North America,India,2000,253.83,634.87,64.55,139.41,18.24,17.61,1347.47,1916.13,75.17,60.44,-1.71,-4.77
Manufacturing,North America,India,2009,159.52,937.45,55.78,118.72,38.23,8.93,1338.21,8417.3,53.77,55.36,1.18,9.54
Construction,North America,India,2022,126.9,542.76,36.37,191.49,0.81,18.35,124.15,22.97,45.51,65.64,-9.71,-0.86
Manufacturing,North America,India,2019,64.95,184.69,13.21,160.12,16.43,3.95,1254.69,22649.9,58.73,74.09,13.76,9.75
Manufacturing,North America,India,2009,210.28,394.97,75.41,94.93,23.26,3,877.08,18384.9,78.32,7.58,1.7,5.92
Mining,North America,India,2017,189.63,580.05,41.32,56.22,33.74,3.23,676.56,3565.46,60.89,51.6,1.36,6.6
Manufacturing,North America,India,2020,218.7,740.04,70.71,108.14,1.97,12.11,976.94,4244.65,63.59,52.16,-9,1.34
Construction,North America,India,2009,188.72,184.37,73.24,161.91,22.45,13.43,495.27,22251.61,60.16,66.35,4.07,-2.38
Mining,North America,India,2005,259.98,619.88,29.46,181.59,16.95,15.41,1437.6,1500.2,24.28,46.12,14.02,5.09
Construction,North America,India,2022,4.26,131.69,64.88,145.06,11.27,16.29,127.83,19521.46,63.51,79.46,8.71,-1.5
Construction,North America,India,2003,279.43,860.48,45.72,181.38,2.12,3.83,376.37,22696.9,59.32,25.24,-6.09,-4.97
Manufacturing,North America,India,2019,34.35,411.33,54.89,36.58,13.44,9.4,863.2,23867.34,54.37,44.01,3.09,-1.61
Manufacturing,North America,India,2020,113.04,680.45,79.19,136.79,31.61,8.75,750.08,19106.68,67.28,61.18,-7.38,0.43
Manufacturing,North America,India,2019,159.58,446.2,85.11,102.53,29.94,18.83,1457.42,17509.31,99.04,20.99,-6.38,0.18
Mining,North America,India,2002,281.34,56.3,96.27,111.2,44.45,17.45,668.02,21910.37,35.91,84.52,8.89,1.48
Manufacturing,North America,India,2007,142.08,969.1,26.8,164.3,46.97,10.73,1247.52,14392.31,38.62,67.39,-8.63,2.4
Energy,North America,India,2007,206.75,336.83,42,64.47,43.58,10.78,1182.89,14660.95,69.69,71.2,-9.34,7.67
Manufacturing,North America,India,2016,11.88,102.74,91.74,36.71,2.87,5.04,174.68,17305.24,86.69,72.96,9.13,2.66
Construction,North America,India,2012,199.38,980.72,57.65,128.78,33.34,13.5,1290.49,10892.58,43.12,36.86,12.28,6.18
Energy,North America,India,2015,108.15,311.05,50.99,62.35,17.45,1.71,157.07,18858.98,54.25,54.65,14.94,1.59
Construction,North America,India,2011,20.25,805.29,91.94,148.46,13.55,2.52,423.63,1398.39,20.18,55.06,-0.86,2.09
Construction,North America,India,2014,78.61,839.8,54.27,1.46,6.65,10.07,891.35,3116.5,23.01,3.33,7.03,-2.98
Energy,North America,India,2021,212.06,105.43,67.85,127.89,4.65,7.15,1254.31,4639.11,94.73,86.42,13.61,7.57
Manufacturing,North America,India,2008,127.44,828.07,37.4,60.8,12.92,8.33,1383.54,15773.9,65.28,40.64,-6.72,2.11
Mining,North America,India,2002,235.57,20.44,42.44,23.95,14.63,19.71,1001.32,9960.62,75.58,53.99,-7.92,9.27
Energy,North America,India,2004,136.28,324.39,65.86,161.76,7.25,16.48,398.1,21257.12,49.98,27.16,8.3,-4.27
Mining,North America,India,2015,225.94,325.05,16.08,37.33,2.03,7.45,346.19,779,77.25,32.08,7.14,-2.97
Energy,North America,India,2004,184.38,983.51,98.8,65.78,12.35,8.32,926,7209.43,97.69,96.95,-4.77,3.96
Mining,North America,India,2005,291.8,985.09,30.76,122.53,17.42,12.08,1438.25,13939.56,92.61,80.57,11.03,-0.61
Construction,North America,India,2003,261.47,208.83,64.82,76.41,6.6,2.87,793.39,22789.61,77.29,40.18,12.12,4.77
Mining,North America,India,2013,159.18,763.16,94.24,104.3,30.16,7.65,1365.43,16737.82,48.78,17.08,10.64,1.59
Manufacturing,North America,India,2015,257.28,291.19,35.94,169.05,29.59,13.36,333.36,3955.57,66.16,62.23,3.78,9.14
Construction,North America,India,2011,156.22,733.23,42.1,14.94,22.57,11.33,736.35,20839.95,57.68,9.28,2.58,9.46
Energy,North America,India,2020,243.36,350.93,48.14,170.37,26.38,5.82,1278.37,20573.18,85.87,3.35,2.43,9
Construction,North America,India,2004,291.01,400.02,71.22,3.43,19.98,16.03,1075.96,5265.23,95.5,85.23,8.77,9.84
Construction,North America,India,2003,28.43,457.05,20.36,139.3,28.06,4.56,733.72,21995.06,86.52,20.92,-9.7,-3.74
Manufacturing,North America,India,2000,191.21,771.74,27.64,118.58,28.85,6.5,1061.68,17044.08,96.32,0.38,12.02,2.43
Manufacturing,North America,India,2012,4.85,389.33,57.29,136.02,10.13,17.54,97.08,16470.63,20.36,78.33,-3.41,8.84
Energy,North America,India,2003,135.58,136.68,57.97,164.57,34.46,5.13,599.07,3360.08,79.3,67.79,-0.61,8.64
Manufacturing,North America,India,2012,277.48,285.58,52.5,71.81,15.17,10.03,1101.78,12031.47,70.17,88.81,2.18,-3.39
Energy,North America,India,2020,203.78,960.79,27.64,51.92,33.34,9.52,61.46,16325.41,61.67,6.17,-9.65,6.56
Energy,North America,India,2012,151.54,349.99,45.71,36.89,8.56,10.03,1079.99,1823.88,20.98,38.77,9.12,-2.33
Mining,North America,India,2021,66.66,956.38,97.9,166.14,2.05,10.91,1258.19,20273.89,83.97,89.46,5.03,-4.83
Energy,North America,India,2018,265.41,39.42,66.04,126.5,30.7,17.19,254.31,22685.2,96.4,71.82,6.72,-4.61
Energy,North America,India,2010,210.37,523.02,6.39,162.13,19.11,1.68,636.74,22739.56,27.08,38.51,-0.8,-3.37
Mining,North America,India,2021,163.38,777.09,74.42,22.58,2.54,6.94,89.14,4053.65,38.14,77.01,6.4,-3.88
Construction,North America,India,2005,19.23,710.11,37.36,67.43,35.96,16.44,1124.18,14042.87,29.93,18.2,6.27,3.07
Energy,North America,India,2006,225.44,167.53,97.29,131.49,4.58,16.48,1225.5,23999.31,74.13,28.29,-3.28,6.43
Construction,North America,India,2010,225.6,751.97,73.46,61.13,37.72,6.69,1259.26,12988.53,81.38,89.59,-2.38,-4.5
Energy,North America,India,2002,100.14,707.48,86.34,147.35,37.24,15,908.54,5622,81.77,24.92,1.96,-4.2
Energy,North America,India,2000,93.81,43.03,84.77,24.37,28.8,9.05,579.44,22504.36,94.48,65.96,-8.29,5.98
Construction,North America,India,2008,185.13,435.38,39.64,62.8,26.45,1.51,396.35,22200,26.96,34.88,6.61,5.53
Mining,North America,India,2001,226.06,37.31,17.97,170.15,36.24,11.09,1082.52,1038.01,37.87,3.39,14.76,7.59
Manufacturing,North America,India,2004,94.64,218.23,38.4,96.31,40.09,6.42,1344.64,580.73,46.03,48.85,9.83,9.19
Manufacturing,North America,India,2019,221.66,372.08,77.31,119.44,37.73,11.5,247.92,9386.2,66.28,58.05,-1.9,2.82
Energy,North America,India,2008,187.1,108.35,93.84,14.08,15.38,10.72,175.82,22902.31,23.67,96.13,13.72,8.25
Mining,North America,India,2006,106.21,693.55,63.74,79.7,48.52,16.76,674.35,15204.55,25.34,8.94,10.09,8.68
Construction,North America,India,2011,257.58,232.95,27.47,38.59,17.22,12.37,1353.75,18627.93,25.33,62.56,-3.97,-0.2
Mining,North America,India,2012,222.51,987.9,91.43,38.95,35.47,15.65,540.19,3416.05,76.18,75.75,5.17,4.79
Energy,North America,India,2008,216.25,469.33,81.32,116.36,8.65,11.18,317.96,9921.01,95.18,10.37,1.68,-1.12
Manufacturing,North America,India,2012,72.9,684.18,29.78,173.87,7.1,4.99,913.37,14069.98,64.01,20.99,13.42,0.56
Construction,North America,India,2014,104.06,900.62,81.1,175.82,38.68,11.71,1037.74,7949.74,46.78,62.35,3.5,5.61
Manufacturing,North America,India,2014,166.57,468.18,72.16,18.96,39.55,7.72,70.02,23302.85,51.01,27.2,10.05,2.27
Energy,North America,India,2000,141.94,417.83,20.99,20.36,48.5,11.48,1054.85,23302.57,43.91,51.97,11.22,-0.74
Construction,North America,India,2007,262.42,340.12,57.11,76.59,5.73,14.62,622.97,24158.6,21.65,25.36,-4.72,-4.71
Construction,North America,India,2007,199.92,943.39,83.04,75.63,32.49,0.52,449.5,2689.07,87.03,39.05,9.07,8.89
Energy,North America,India,2000,206.85,728.15,6.23,176.59,10.33,3.18,1162.76,6111.07,50.61,88.01,-7.35,0.66
Manufacturing,North America,India,2018,41.52,93.18,84.8,76.52,40.92,9.84,225.04,12728.03,61.29,22.7,8.26,9.34
Construction,North America,India,2021,80.51,675.45,76.2,125.08,25.28,12.22,1110.12,14308.97,94.45,0.62,-9.84,-1.09
Mining,North America,India,2021,94.44,508.93,79.06,157.76,14.45,4.24,921.25,24417.43,52.2,10.76,10.08,-0.91
Construction,North America,India,2014,145.32,212.57,64.49,51.53,19.81,0.88,134.94,6217.71,84.23,85.21,0.34,6.33
Mining,North America,India,2007,251.8,794.61,85.08,84.98,21.85,18.16,639.63,110.96,50.65,37.84,8.22,-4.53
Mining,North America,India,2001,294.45,174.12,66.18,165.93,18.7,15.37,903.32,9482.07,23.24,90.78,13.24,2.1
Mining,North America,India,2007,34.08,366.05,27.32,12.05,27.15,10.01,518.98,3157.11,26.88,4,10.55,4.39
Construction,North America,India,2001,170.59,205.59,1.21,100,7.9,15.06,1392.85,6888.46,70.79,31.02,1.77,-1.5
Manufacturing,North America,India,2012,285.78,611.24,38.66,109.38,8.9,0.31,1413.97,441.72,55.74,42.86,-0.25,-3.5
Manufacturing,North America,India,2016,296.39,739.97,87.39,102.5,15.56,14.31,259.92,2932.43,76.89,4.56,6.85,-3.62
Energy,North America,India,2011,259.51,943.74,3.04,58.51,17.91,16.44,1110.48,8205.1,88.13,23.96,11.39,6.32
Construction,North America,India,2007,53.45,348.81,25.23,160.73,44.72,13.4,583.1,12805.53,93.4,20.03,6.31,6.62
Manufacturing,North America,India,2002,118.87,82.88,14.9,45.75,30.79,13.56,175.58,8822.04,82.33,49.72,-2.8,-4.93
Construction,North America,India,2007,196.87,992.33,95.69,79.85,43.17,7.76,793.94,6550.61,47.99,22.68,5.88,-0.92
Manufacturing,North America,India,2017,199.5,286.95,7.25,80.27,43.11,5.74,816.51,20209.14,23.74,64.64,7.55,-4.73
Mining,North America,India,2007,211.96,489.09,86.75,30.94,14.64,2.86,241.86,925.35,86.95,97.43,12.95,-0.91
Construction,North America,India,2005,243.23,53.62,30.12,186.16,34.4,10.2,1449.01,14313.18,52.15,60.91,13.06,8.2
Construction,North America,India,2009,87.1,816.58,33.49,99.97,0.88,3.76,1065.34,11868.75,99.25,32.45,1.36,-3.33
Energy,North America,India,2012,158.84,440.67,38.97,98.67,41,9.84,763.96,10518.9,48.27,93.88,11.59,-2.6
Construction,North America,India,2009,190.9,819.07,24.8,19.15,49.58,15.07,164.2,7655.39,68.51,81.55,11.55,2.61
Mining,North America,India,2011,92.41,425.64,59.63,175.7,29.8,6.51,744.57,23266.98,97.28,60.29,2.43,9.41
Construction,North America,India,2002,235.49,647.04,71.98,181.93,9.44,13.59,1234.66,17416.52,81.75,13.35,11.95,-3.92
Construction,North America,India,2012,112.71,468.78,96.46,109.61,38.53,8.97,1282.12,14184.58,55.1,99.19,11.06,-4.26
Energy,North America,India,2019,177.31,896.47,29.17,142.13,7.72,5.31,1491.97,12675.91,65.19,44.58,5.31,8.27
Energy,North America,India,2022,187.47,23.06,55.63,182.67,30.31,12.99,374.39,3549.06,74.02,52.93,2.5,7.62
Manufacturing,North America,India,2004,112.73,529.97,86.34,123.91,45.32,12.8,1206.31,23647.02,97.42,35.72,10.48,7.63
Construction,North America,India,2005,124.22,265.21,95.08,148.67,16.92,11.04,178.01,12113.25,37.06,64.77,-6.06,7.23
Mining,North America,India,2000,50.4,549.78,91.42,27.68,29.35,3.41,1212.55,23682.77,69.25,97.78,11.05,6.52
Energy,North America,India,2001,230.17,179,58.24,73.56,21.54,3.19,1123.31,1148.21,63.61,64.66,1.44,5.28
Mining,North America,India,2005,264.68,137.56,55.06,27.39,11.22,14.43,1477.6,6052.74,73.88,56.81,7.56,4.61
Mining,North America,India,2015,278.51,536.35,78.01,118.62,28.02,12.36,1279.57,13104.59,47.17,98.79,-4.26,3.4
Energy,North America,India,2013,281.28,389.71,26.78,96.23,33.89,0.14,764.04,17722.74,54.35,23.48,6.99,0.11
Manufacturing,North America,India,2000,166.34,392.87,33.88,103.01,37.45,11.97,130.15,12455.09,78.86,0.03,-5.6,2.83
Manufacturing,North America,India,2011,270.38,742,82.31,19.63,12.93,19.96,303.46,13042.74,91.26,88.31,11.22,8.16
Energy,North America,India,2007,29.9,514.04,76.89,113.89,31.4,7.25,1152.91,17321.91,43.84,60.61,-1.25,8.56
Mining,North America,India,2014,77.61,81.49,13.1,115.51,4.8,18.66,1415.39,10377.98,50.35,86.61,-0.5,-2.41
Energy,North America,India,2012,296.79,609.79,43.39,70.85,30.01,4.01,302.42,8258.2,30.46,5.46,1.67,0.18
Energy,North America,India,2004,172.38,548.02,87.06,106.4,47.83,8.76,652.02,8633.59,74.02,39.09,12.57,0.51
Manufacturing,North America,India,2000,57.36,277.64,72.42,109.2,31.68,16.58,1068.08,12116.06,54.08,29.5,9.3,1.61
Energy,North America,India,2000,41.43,509.27,19.17,89.16,47.7,8.28,199.78,19123.18,88.82,13.01,6.59,-1.06
Energy,North America,India,2003,157.25,310.42,11.98,58.87,6.81,16.54,1302.03,14681.48,28.26,12.13,-4.92,-3.77
Energy,North America,India,2017,20.77,965.8,6.93,110.24,16.74,9.11,783.52,1299.24,82.51,66.97,-0.22,-0.98
Construction,North America,India,2012,195.63,98.05,90.28,117.87,21.3,19.15,757.2,15274.59,29.78,70.52,-5.12,2.21
Energy,North America,India,2005,256.83,994.52,28.75,73.18,20.15,8.18,375.37,8155.77,36.67,69.17,13.62,2.77
Construction,North America,India,2005,27.69,183.08,72.39,153.45,32.81,1.25,341.08,3795.72,87.42,20.43,-1.52,4.66
Energy,North America,India,2018,245.25,255.81,92.3,92.52,19.08,17.72,32.81,12812.57,40.42,59.47,0.03,8.24
Construction,North America,India,2016,76.92,818.99,59.89,105.31,39.24,4.7,886.29,16028.24,57.17,61.08,5.12,0.32
Mining,North America,India,2003,194.29,100,90.98,38.93,38.01,7.75,57.49,9562.39,98.42,99.52,6.95,-1.86
Construction,North America,India,2013,34.41,71.38,47.4,3.84,28.24,12.93,94.88,17119.01,79.54,77.3,-5.6,8.47
Mining,North America,India,2001,185.65,920.5,51.55,160.06,18.04,4.62,1109.65,13316.43,20.58,55.43,-5.15,4.94
Construction,North America,India,2019,274.11,855.51,6.39,99.57,18.45,6.79,1125.66,17786.99,67.02,61.86,-4.58,6.55
Mining,North America,India,2022,3,644.35,27.14,22.25,29.42,10.71,140.17,14867.41,56.93,48.08,10.06,7.51
Mining,North America,India,2021,133.87,617.67,80.99,109.21,26.67,6.08,618.22,6611.95,72.98,77.29,13.49,5.6
Manufacturing,North America,India,2017,128.39,411.54,37.14,41.41,37.55,15.64,1413.13,6493.72,72.4,45.91,4.32,3.43
Manufacturing,North America,India,2005,157.59,470.93,42.14,63.64,25.63,7.22,1099.74,9896.77,58.01,91.23,3.29,4.21
Energy,North America,India,2003,97.71,794.85,86.68,67.57,8.82,9.26,517.89,22145.5,88.91,44.98,-0.85,0.7
Construction,North America,India,2017,228.01,878.19,33.47,18.98,32.15,8.37,220.06,13457.88,87,0.06,-0.92,6.3
Construction,North America,India,2000,290.89,746.51,97.21,158.66,31.64,15.71,128.25,2206.86,49.84,92.62,11.31,-2
Construction,North America,India,2016,67.3,401.2,95.27,175.24,17.36,11.79,564.1,15266.74,75.26,64.69,6.21,-1.95
Construction,North America,India,2002,92.06,437.72,61.85,103.85,25.92,0.97,49.76,22970.49,20.96,5.49,0.82,3.3
Energy,North America,India,2009,171.6,787.52,37.84,21,1.02,14.96,1201.1,19160.41,96.37,77.44,7.41,3.84
Mining,North America,India,2000,67.28,618.8,24.68,53.02,48.2,2.21,1379.11,14661.33,41.56,78.04,12.66,-0.85
Mining,North America,India,2004,101.32,245.72,14.3,43.36,22.22,19.05,762.47,23517.2,28.02,43.07,7.93,0.39
Energy,North America,India,2011,134.71,489.96,81.06,102.29,31.92,5.45,1125.62,5971.48,44.85,27.14,6.6,-3.45
Manufacturing,North America,India,2000,254.46,759.41,86.39,41.33,3.53,5.15,491.14,16843.43,48.62,14.78,4.31,5.95
Energy,North America,India,2013,205.11,150.66,0.46,142.91,44.85,9.68,534.77,24416.99,64.08,48.44,-4.88,7.55
Energy,North America,India,2021,183.23,153.68,45.36,86.41,42.77,17.16,873.51,15706.32,29.06,79.79,-1.69,-3.77
Mining,North America,India,2014,9.33,237.9,7.01,115.62,48.82,16.22,820.41,1543.04,43.48,64.79,9.06,-1.75
Construction,North America,India,2016,220.08,525.91,28.55,83.61,11.85,6.01,1322.92,19168.85,79.62,25.61,9.03,4.9
Construction,North America,India,2008,56.79,821.1,70.76,192.79,20.24,14.33,872.45,3143.49,96.05,28.99,-6.4,-1.51
Mining,North America,India,2017,236.12,641.2,3.92,68.63,20.65,11.97,217.44,6031.53,45.05,41.64,-0.17,4.85
Manufacturing,North America,India,2016,27.55,354.48,20.98,24.66,18.72,2.73,762.13,10005.03,55.11,61.96,-2.08,0.87
Mining,North America,India,2007,124.25,769.9,54.19,41.23,19.46,5.86,1028.93,6786.94,80.22,18.32,-8.19,6.62
Manufacturing,North America,India,2014,226.62,294.27,87.01,21.68,27.13,14.2,83.86,8671.52,68.31,7.12,-9.06,4.53
Manufacturing,North America,India,2000,73.68,221.92,16.55,39.15,49.71,18.97,819.18,18033.52,24.96,83.1,-0.25,-0.72
Manufacturing,North America,India,2004,91.44,770.15,15.05,181.03,1.24,1.62,725.94,23545.15,70.73,8.86,-5.55,-2.2
Manufacturing,North America,India,2015,212.29,172.26,84.23,172,43.43,7.68,1326.07,18375.61,43.86,82,5.07,-0.58
Mining,North America,India,2021,247.82,309.7,99.12,21.84,8.94,15.61,893.58,1505.52,34.99,98.26,7.66,-1.72
Energy,North America,India,2012,290.07,478.89,33.06,68.88,45.64,12.26,734.33,16407.83,75.64,70.8,4.94,-2.63
Mining,North America,India,2006,252.53,892.8,1.04,134.19,31.91,14.37,69.22,23113.21,54.15,77.01,12.09,-3.34
Energy,North America,India,2009,152.62,374.43,42.79,125.52,26.8,5.06,1350.39,20498.36,86.8,44.23,6.25,7.72
Construction,North America,India,2014,159.72,823.31,71.83,86.99,9.95,14.12,717.47,23781.88,53.88,97.24,2.65,-3.45
Energy,North America,India,2022,177.52,366.15,14.86,169.05,35.4,8.91,191.38,11479.04,56.2,31.61,-9.25,-3.82
Manufacturing,North America,India,2012,97.34,860.67,98.48,110,1.61,0.48,268.77,2707.65,39.81,81.05,-7.82,-4.59
Energy,North America,India,2018,258.27,433.63,10.95,120.41,33.45,1.37,884.51,17260.4,82.38,38.24,-8.94,3.58
Mining,North America,India,2018,146.69,683.04,1.36,186.51,28.5,8.49,563.61,1184.75,39.99,61.12,1.33,-0.66
Mining,North America,India,2000,65.32,984.92,86,93.4,19,7.66,1345.62,7268.1,76.71,46.55,3.38,8.63
Mining,North America,India,2009,216.43,420.25,78.84,161.38,22.01,6.51,911.36,7621.96,67.53,1.77,14.13,-0.89
Energy,North America,India,2008,3.41,655.92,69.61,93.96,48.62,4.46,567.35,10919.52,90.61,22.49,2.66,9.63
Construction,North America,India,2010,228.33,767.58,37.8,163.46,45.6,8.64,818.75,19797.34,92.6,35.16,10.84,8.32
Construction,North America,India,2003,260.99,51.04,51.23,33.79,0.13,19.68,1006.31,11842.42,78.69,29.6,-8.51,9.59
Manufacturing,North America,India,2018,44.33,840.23,13.63,182.8,44.82,18.58,665.25,9410.37,50.87,18.98,-4.75,-4.25
Energy,North America,India,2005,250.85,598.13,66.04,48.13,0.41,1.05,408.31,6196.35,30.57,77.38,-9.07,-3.21
Manufacturing,North America,India,2016,291.76,117.01,31.81,162.98,11.58,4,1052.27,11708.73,70.52,95.27,10.31,-0.31
Construction,North America,India,2004,137.14,335.89,19.61,22.48,22.95,9.37,1336.04,7854.85,28.3,45.77,3.61,9.68
Mining,North America,India,2019,186.67,611.32,16.64,88.61,9.85,12.51,281.46,607.75,54.13,93.68,-0.36,7.41
Energy,North America,India,2011,49.06,187.56,27.29,62.95,20.32,10.42,1374.31,9507.83,72.59,71.34,2.86,-1.7
Mining,North America,India,2015,111.94,670.5,83.99,101.02,32.17,13.22,312.18,19925.45,28.74,59.25,-4.63,7.72
Construction,North America,India,2001,62.23,953.72,29.97,24.82,8.53,5.37,295.28,22162.94,79.63,17.9,10.28,-3.04
Energy,North America,India,2019,243.54,145.37,40.44,13.27,5.22,5.41,721.29,11740.07,93.97,28.29,11.42,6.72
Manufacturing,North America,India,2001,81.23,212.11,29.31,164.7,24.71,0.77,339.55,16687.72,33,53.81,7.83,-2.96
Construction,North America,India,2003,61.31,32.78,12.32,13.62,24.52,2.12,953.22,1935.11,98.34,48,-2.84,8.31
Construction,North America,India,2006,243.8,905.42,59.09,48.13,19.34,18.85,1046.67,11501.95,73.64,64.49,-2.26,8.99
Energy,North America,India,2009,141.31,377.18,53.23,64.22,12.52,17.68,1498.48,2938.64,71.38,13.59,10.03,-2.08
Energy,North America,India,2022,194.11,428.62,21.31,199.79,7.58,5.99,270.91,6313.83,39.62,82.53,-0.09,0.87
Mining,North America,India,2012,219.77,467.51,29.75,40.68,41.46,10.37,1270.33,16128.93,69.83,61.93,-5.24,-3.72
Manufacturing,North America,India,2012,123.4,957.1,67.24,73.33,0.23,13.57,687.84,20881,50.47,43.98,-2.49,-1.52
Construction,North America,India,2001,70.23,11.56,29.31,95.36,13.33,6.28,192.02,21006.73,29.82,28.67,5.73,-4.48
Energy,North America,India,2010,274.78,297.64,19.07,85.67,38.33,17.25,1428.69,4472.88,71.56,6.35,-5.11,4.61
Energy,North America,India,2009,221.09,244.53,65.87,65.42,11.26,14.52,503.45,16647.34,41.9,77.08,-6.13,-3.34
Mining,North America,India,2022,89.23,240.24,1.53,90.56,6.74,3.88,1062.44,5490.6,49.1,49.76,-3.5,-2.91
Manufacturing,North America,India,2005,193.35,910.48,70.1,59.34,10.06,5.1,1347.29,11778.3,42.54,74.16,4.1,2.97
Energy,North America,India,2013,181.37,726.14,49.73,29.25,47.57,19.25,1017.1,3943.22,57.4,52.72,-6.34,9.58
Manufacturing,North America,India,2006,221.84,463.73,10.44,48.59,29.49,11.41,347.72,17096.48,34.7,68.23,-1.8,1.9
Energy,North America,India,2003,120.28,740.04,83.89,11.41,40.62,17.94,147.44,6793.23,90.95,77.51,-4.76,-1.9
Mining,North America,India,2006,73.08,467.6,73.77,135.08,19.59,5.5,1471.57,12960.7,39.05,41.39,12.74,9.27
